ATCF Name      Date time   ftime(hr)  VMAX0  NCI  VMAXN    OFDV    OBDV    DSDV    LGDV    HWDV    AVDV    VMXC    DV12    SLAT    SSTN    SHDC    DTL     D200    T200    RHMD    SPDX    SPDY     LON0    LAT0 NCT    LONN    LATN    OFDX    OBDX    AVDX    EMDX    EGDX    HWDX    LONC    OFDY    OBDY    AVDY    EMDY    EGDY    HWDY    LATC
AL01 ANDREA    2013 060600   12         35.   4     40.    15.0    18.0     2.0     1.0    -1.0    -2.0    37.0     5.0    26.4    27.6    25.9   353.7   105.7   -52.5    62.3     4.5     7.7    273.5    25.6   2   274.4    27.3    69.0    44.3    93.5     0.0     0.0   -93.9   274.7    55.5    38.9    50.0     0.0     0.0   -50.0    27.5
AL01 ANDREA    2013 060606   12         45.   4     50.     5.0     7.2     1.2     1.2    -0.8    -1.8    47.8    10.0    27.9    26.6    29.9   212.3   102.3   -52.6    64.7     6.8    10.5    273.9    26.7   3   275.5    29.0    58.3    80.9    71.0     0.0   -16.2   -55.0   275.3   -11.1   -33.3    44.4     0.0   -11.1   -33.3    29.2
AL01 ANDREA    2013 060612   12         50.   4     45.    -5.0    -5.8    -2.8    -0.8     1.2     2.2    45.8    15.0    29.2    26.3    27.0    49.3   110.7   -52.8    67.3     9.7    13.7    275.1    27.8   4   277.1    30.3    -9.6    -2.4     7.2     7.2    16.8   -31.2   277.0   -55.5   -50.0    16.7     5.6    16.7   -38.9    30.2
AL01 ANDREA    2013 060618   12         55.   4     45.    -5.0    -4.5    -7.5    -6.5     7.5     6.5    44.5     5.0    30.3    25.8    26.5   -13.0    95.3   -52.6    68.3    11.3    14.2    276.1    28.9   4   278.6    31.9     0.0    14.2   -14.1    14.2    23.6   -23.6   278.5   -33.3   -30.6    25.0   -30.6    -8.3    13.9    31.9
AL01 ANDREA    2013 060700   12         40.   4     40.     0.0     6.2    -1.8    -1.8     1.2     2.2    33.8   -10.0    31.5    25.8    28.3   -33.3    92.7   -52.9    68.0    12.6    16.2    277.0    29.8   4   279.8    33.0     0.0     9.3     0.0     0.0    27.9   -27.9   279.7    55.5    38.9    16.7   -27.8    16.7    -5.6    33.2
AL02 BARRY     2013 061718   12         30.   4     25.     0.0    -2.5    -0.5    -0.5     2.5    -1.5    27.5     5.0    16.9    29.0    14.5   -73.3    37.7   -52.6    63.7    -9.7     4.8    272.1    16.3   3   270.0    17.2    74.3    77.9   -17.7     3.5     0.0    14.2   270.0   -22.2   -18.5    25.9    -7.4     0.0   -18.5    17.2
AL02 BARRY     2013 061800   12         30.   4     25.     5.0     3.8     1.8     1.8    -2.2    -1.2    26.2     0.0    16.9    29.1    14.7   -96.7    40.0   -52.7    66.0    -8.6     3.7    271.4    16.6   3   269.7    17.2     0.0     3.5    24.8   -28.3     0.0     3.5   269.7    44.4    55.5    11.1     0.0     0.0   -11.1    17.1
AL02 BARRY     2013 061806   12         25.   4     25.     5.0     4.5     0.5     0.5    -1.5     0.5    25.5    -5.0    17.1    29.2    15.2  -120.7    23.7   -52.8    68.7    -7.5     3.0    270.7    17.0   3   269.3    17.5   -63.4   -28.2    14.1     3.5     0.0   -17.6   269.0    77.8    48.1     3.7    25.9     0.0   -29.6    17.8
AL02 BARRY     2013 061812   12         25.   4     25.     5.0     4.2     0.2     0.2     0.2    -0.8    25.8    -5.0    17.7    29.5    17.2  -115.7     0.0   -52.8    71.3    -7.1     3.2    269.7    17.6   3   268.6    18.1   -84.3   -45.6    -3.5    28.1     0.0   -24.6   268.2    77.8    44.4     0.0     0.0     0.0     0.0    18.4
AL02 BARRY     2013 061818   12         25.   4     25.     5.0     0.8    -0.2    -0.2     2.8    -2.2    29.2     0.0    18.4    28.9    17.0   -21.3     9.7   -52.6    68.7    -8.2     3.0    268.7    18.2   2   266.7    18.7    21.0    63.0    10.5     0.0     0.0   -10.5   266.3    55.5    44.4   -11.1     0.0     0.0    11.1    18.8
