  ATCFID NAME            YEAR MMDDHH  FHOUR  VMAX0      NCI    VMAXN     OFDV     OBDV     DSDV     LGDV     HWDV     AVDV     VMXC     DV12     SLAT     SSTN     SHDC     DTL      D200     T200     RHMD     SPDX     SPDY     LON0     LAT0      NCT     LONN     LATN     OFDX     OBDX     AVDX     EMDX     EGDX     HWDX     LONC     OFDY     OBDY     AVDY     EMDY     EGDY     HWDY     LATC
AL012013 ANDREA          2013 060600   12    35.00     4.00    40.00    15.00    18.00     2.00     1.00    -1.00    -2.00    37.00     5.00    26.37    27.57    25.90   353.67   105.67   -52.50    62.33     4.47     7.67   273.50    25.60     2.00   274.40    27.30    68.95    44.29    93.47     0.00     0.00   -93.85   274.65    55.55    38.88    49.99     0.00     0.00   -50.00    27.45
AL012013 ANDREA          2013 060606   12    45.00     4.00    50.00     5.00     7.25     1.25     1.25    -0.75    -1.75    47.75    10.00    27.87    26.57    29.93   212.33   102.33   -52.63    64.67     6.75    10.50   273.90    26.70     3.00   275.50    29.00    58.33    80.94    70.98     0.00   -16.17   -55.03   275.27   -11.11   -33.33    44.44     0.00   -11.11   -33.33    29.20
AL012013 ANDREA          2013 060612   12    50.00     4.00    45.00    -5.00    -5.75    -2.75    -0.75     1.25     2.25    45.75    15.00    29.17    26.30    27.00    49.33   110.67   -52.80    67.33     9.72    13.67   275.10    27.80     4.00   277.10    30.30    -9.62    -2.41     7.19     7.19    16.78   -31.25   277.03   -55.55   -50.00    16.66     5.55    16.66   -38.89    30.25
AL012013 ANDREA          2013 060618   12    55.00     4.00    45.00    -5.00    -4.50    -7.50    -6.50     7.50     6.50    44.50     5.00    30.30    25.83    26.53   -13.00    95.33   -52.60    68.33    11.34    14.17   276.10    28.90     4.00   278.60    31.90     0.00    14.17   -14.14    14.17    23.60   -23.57   278.45   -33.33   -30.55    25.00   -30.55    -8.33    13.89    31.88
AL012013 ANDREA          2013 060700   12    40.00     4.00    40.00     0.00     6.25    -1.75    -1.75     1.25     2.25    33.75   -10.00    31.50    25.83    28.27   -33.33    92.67   -52.90    68.00    12.59    16.17   277.00    29.80     4.00   279.80    33.00     0.00     9.28     0.00     0.00    27.88   -27.91   279.70    55.55    38.88    16.66   -27.77    16.66    -5.56    33.15
AL022013 BARRY           2013 061718   12    30.00     4.00    25.00     0.00    -2.50    -0.50    -0.50     2.50    -1.50    27.50     5.00    16.90    29.03    14.50   -73.33    37.67   -52.63    63.67    -9.73     4.83   272.10    16.30     3.00   270.00    17.20    74.33    77.88   -17.68     3.54     0.00    14.16   269.97   -22.22   -18.52    25.92    -7.41     0.00   -18.52    17.17
AL022013 BARRY           2013 061800   12    30.00     4.00    25.00     5.00     3.75     1.75     1.75    -2.25    -1.25    26.25     0.00    16.90    29.10    14.70   -96.67    40.00   -52.70    66.00    -8.61     3.67   271.40    16.60     3.00   269.70    17.20     0.00     3.54    24.77   -28.32     0.00     3.54   269.67    44.44    55.55    11.11     0.00     0.00   -11.11    17.10
AL022013 BARRY           2013 061806   12    25.00     4.00    25.00     5.00     4.50     0.50     0.50    -1.50     0.50    25.50    -5.00    17.10    29.23    15.23  -120.67    23.67   -52.80    68.67    -7.49     3.00   270.70    17.00     3.00   269.30    17.50   -63.45   -28.18    14.11     3.53     0.00   -17.65   268.97    77.77    48.14     3.70    25.92     0.00   -29.63    17.77
AL022013 BARRY           2013 061812   12    25.00     4.00    25.00     5.00     4.25     0.25     0.25     0.25    -0.75    25.75    -5.00    17.70    29.47    17.20  -115.67     0.00   -52.77    71.33    -7.15     3.17   269.70    17.60     3.00   268.60    18.10   -84.31   -45.63    -3.51    28.11     0.00   -24.60   268.23    77.77    44.44     0.00     0.00     0.00     0.00    18.40
AL022013 BARRY           2013 061818   12    25.00     4.00    25.00     5.00     0.75    -0.25    -0.25     2.75    -2.25    29.25     0.00    18.37    28.93    17.00   -21.33     9.67   -52.60    68.67    -8.23     3.00   268.70    18.20     2.00   266.70    18.70    21.01    63.03    10.52     0.00     0.00   -10.51   266.30    55.55    44.44   -11.11     0.00     0.00    11.11    18.80
AL022013 BARRY           2013 061900   12    25.00     3.00    30.00     5.00     8.33    -0.67    -1.67     0.00     2.33    26.67     0.00    19.00    28.87    18.83    63.00    18.00   -52.73    65.33    -8.04     2.50   267.80    18.80     3.00   265.80    19.20    20.97    -6.99   -17.48     3.49    13.97     0.00   266.07    33.33    18.52    -3.70    -3.70     7.41     0.00    19.33
